序号,省（区、市）,单位名称,统一社会信用代码
1117,福建,腾龙芳烃（漳州）有限公司,9135060071866709A
1118,福建,福建联合石油化工有限公司,91350000156503771U
1119,福建,山鹰华南纸业有限公司,9135062576047982U
1120,福建,玖龙恒龙纸业有限公司,9135062516783187N
1121,福建,华阳电业有限公司,913506006114700876
1122,江西,赣浙发电有限责任公司,913606817599543950
1123,江西,江西赣能股份有限公司丰城一期发电厂,9136098179745790436
1124,江西,丰城矿务局电厂项目责任公司,913609817057878787R
1125,江西,国电丰城发电有限公司,913609115829587D3
1126,江西,江西省丰城新高苑电业有限公司,91360981744295892M
1127,江西,江西洪城水南落霞电有限公司,91360925696947206Y
1128,江西,江西龙造化实业有限公司,913609825799483XDJ
1129,江西,江西瑞普生态化工有限公司,91360900727337559
1130,江西,江西焦点发化有限公司,9136098227306690U
1131,江西,江西安字能源发展有限公司,91360982680933153L
1132,江西,江西景发能源发展有限公司,91360500518972513P
1133,江西,国家电投集团江西电力有限公司分宜发电厂,913605212089306468R
1134,江西,国电金溪发电有限公司,9136127759699646H
1135,江西,华能资源发电有限责任公司,913613008239694964P
1136,江西,华润早业股份有限责任公司安源发电厂,91360308599891210Q
1137,江西,江西南美纸业有限公司,9136030156865718F
1138,江西,国家电投集团江西电力有限公司新华发电分公司,913612205441243O3Y
1139,江西,江西鹰纸业有限责任公司,91360101474264607C
1140,江西,南昌力大资源综合利用科技有限公司,9136011MA360KUJ93
1141,江西,赛得利（江西）化纤有限公司,9136040741555891Y
1142,江西,九江恒生化纤股份有限公司,9136040781272984I
1143,江西,国电九江发电有限公司,9136040075506993B
1144,江西,赛得利（九江）纤维有限公司,91360403363929212
1145,江西,江西省电力九分布式能源有限公司,9136040251716090C
1146,江西,江西塑艺有限公司,9136040058104805Q
1147,江西,江西莲星有限公司机械租赁,913111085013729K
1148,江西,中国石油化工股份有限公司九江分公司,91314704788423U
1149,江西,江西蓝珞教育有限公司,91314444789922314M
1150,江西,神华宁江发物业有限责任公司,91340359723617290G
1151,江西,乐平中天蒸热有限公司,91311592471114I5
1152,江西,国家电投集团江西电力有限公司景德镇发电分公司,913013068157135
1153,江西,江西世友实业股份有限公司,91301306783895817
1154,江西,江西装浆综合利用电业有限公司,9133600721456912S
