序号,省(区、市),单位名称,统一社会信用代码
2179,新疆,新疆广汇新能源有限公司,9165222379226828X
2180,新疆,哈密华新能源有限公司克苏热电有限责任公司,916529005896546579
2181,新疆,国电库车发电有限公司,91652937242246311
2182,新疆,新疆粟特糖业有限公司,916529007269816100
2183,新疆,浙江巨化苏热电有限公司,91652900584793015P
2184,新疆,华能新疆能源开发有限公司轮台热电分公司,916528226978271704
2185,新疆,若羌玖龙供热有限公司,91652824697833518
2186,新疆,新疆奥兰实业有限责任公司,916528012297473455
2187,新疆,新疆雪龙葡萄有限公司,91652801636451173
2188,新疆,中粮屯河股份有限公司焉耆糖业分公司,91652826723282357
2189,新疆,国电库尔勒发电有限公司,91652805184752256D
2190,新疆,国投新罗罗布泊钾盐有限公司责任公司,91652800722329078T
2191,新疆,新疆龙光化工股份有限公司,911300067375568N
2192,新疆,新疆华电奎屯热电有限责任公司,91653101580206661E
2193,新疆,华威和田发电有限公司,91653200637432932XW
2194,新疆,新疆能建生物发电有限公司,9165310378998242H
2195,新疆,新疆特变哈密能源有限责任公司,9165232770694701X
2196,新疆,中煤能源新疆煤化有限责任公司,916532276864714394
2197,新疆,大唐热量在额济纳—龙吴有限公司,91653008327373568R
2198,新疆,阿拉尔能源热电有限责任公司,9165900527642042Q
2199,兵团,新疆金川热电有限责任公司,91652827592892321R
2200,兵团,肉木舒克热电有限公司,91659003959154857W
2201,兵团,新疆绿华能源有限公司,91654023731795070B
2202,兵团,新疆伊力特实业股份有限公司,9165000710892189L
2203,兵团,霍尔斯斯耐热电有限责任公司,9165400455244104XR
2204,兵团,伊宁县陶河热电有限责任公司,91654021333021299I
2205,兵团,伊犁州霍哈热电有限责任公司,916540210462074347H
2206,兵团,新疆建能能发展有限公司,9165270059813513P
2207,兵团,新疆润宇斯坦能源有限公司,916590046934446071
2208,兵团,新疆梅龙建设股份有限公司,91654009546855917R
2209,兵团,新疆天鸿煤炭有限公司,91654030666044058
2210,兵团,壹中煤热电有限责任公司,91654003969145681
2211,兵团,新疆华电哈密能源有限公司重非法热电分公司,9165400677611523R
2212,兵团,壹中煤澳门有限公司,9165000711827840Y
2213,兵团,天辰化工有限公司,9165900515243777B
2214,兵团,天能化工有限公司,916590109550151XB
2215,兵团,天伟化工有限公司,
2216,,,
